hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/heart/tests-procedures,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/01/09/blood-drive-jan.-24-at-abrazo-scottsdale-campus,200,0,0,0,0,23,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/back-spine/spinal-treatment/orthopedics-2,200,0,0,0,0,40,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-staff-stories/nancy-s-staff-story,200,0,0,0,0,28,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/womens-health/breast-cancer-screening,200,0,0,0,0,18,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-central-campus/our-news/detail/2016/11/30/abrazo-central-campus-will-present-free-heart-seminar-jan.-24,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/men's-health,200,0,0,0,0,25,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/our-locations-detail/abrazo-peoria-emergency-center,200,0,0,0,0,10,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-services-specialties/awards-distinctions,200,0,0,0,0,19,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/i-am-a-past-patient/billing-and-insurance-questions,200,0,0,0,0,23,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-staff-and-volunteer-stories/dr-ellert's-staff-story,200,0,0,0,0,64,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/783?at=201707061730&schedule_id=783,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/rehabilitation/inpatient-acute-rehabilitation-center,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/classes-events,200,0,0,0,0,11,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/abrazo-central-family-medicine-residency/people/detail/john-kearney-md,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/back-spine/spinal-treatment,200,0,0,0,0,34,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-women-s-health-stories/arleen-s-women-s-health-story,200,0,0,0,0,34,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-services-specialties/critical-limb-ischemia,200,0,0,0,0,24,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/06/05/abrazo-community-health-network-s-six-hospitals-are-hosting-job-fairs-on-june-14,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/782?at=201707061715&schedule_id=782,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://ahh.simpleepay.com/,200,0,0,0,0,28,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/781?at=201707061730&schedule_id=781,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2016/12/16/abrazo-scottsdale-campus-presents-free-seminar-about-back-pain-on-jan.-26,200,0,0,0,0,24,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-staff-and-volunteer-stories/richard-s-volunteer-story,200,0,0,0,0,47,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/i-am-a-past-patient/patient-portal_,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/abrazo-central-family-medicine-residency/people/detail/miguel-gonzales-md,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-maryvale-campus/our-news/detail/2017/05/31/humana-patients-in-network-access-restored-on-june-1-at-abrazo-community-health-network,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-news/detail/2017/06/20/abrazo-community-health-network-provides-safety-tips-for-july-4th-celebrations,200,0,0,0,0,27,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/hospital-abrazo-arrowhead-campus/our-services-specialties,200,0,0,0,0,48,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/calendar/783,200,0,0,0,0,4,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/i-am-a-scheduled-or-current-patient/your-patient-rights,200,0,0,0,0,59,,,,
